City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,54.79,64,91,16.71,overcast clouds
1,Hilo,US,19.7297,-155.09,92.28,74,75,11.5,broken clouds
2,Caala,AO,-12.8525,15.5606,55.11,36,15,2.64,few clouds
3,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,17.27,scattered clouds
4,Bubaque,GW,11.2833,-15.8333,80.55,83,87,11.95,light rain
5,Ginda,IN,30.6945,78.4932,66.31,96,100,0.4,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,74.57,77,59,12.66,light rain
7,Matara,LK,5.9485,80.5353,80.19,82,99,15.21,overcast clouds
8,Alofi,NU,-19.0595,-169.9187,77.07,76,96,23.8,overcast clouds
9,Esperance,AU,-33.8667,121.9,57.07,71,68,21.32,broken clouds
10,Castro,BR,-24.7911,-50.0119,56.26,81,10,3.02,clear sky
11,Port Blair,IN,11.6667,92.75,81.5,83,100,20.09,heavy intensity rain
12,Vanavara,RU,60.34,102.2797,59.05,68,13,1.39,few clouds
13,Verkh-Usugli,RU,52.7,115.1667,57.33,85,20,2.42,few clouds
14,Kahului,US,20.8947,-156.47,87.82,61,40,25.32,scattered clouds
15,Bambang,PH,16.3833,121.1,75.9,92,76,0.47,broken clouds
16,Salalah,OM,17.0151,54.0924,77.09,100,100,9.22,light intensity drizzle
17,Vostok,RU,46.4856,135.8833,70.2,67,93,1.83,overcast clouds
18,Sainte-Marie,RE,-20.8968,55.5496,68.41,69,50,14.97,scattered clouds
19,Bluff,NZ,-46.6,168.3333,38.8,71,43,4.83,scattered clouds
20,Vaini,TO,-21.2,-175.2,78.96,73,40,12.66,scattered clouds
21,Brae,GB,60.3964,-1.353,51.44,95,100,6.31,light rain
22,San Cristobal,VE,7.7669,-72.225,72.72,78,56,4.18,broken clouds
23,Halifax,CA,44.6453,-63.5724,69.69,52,3,1.99,clear sky
24,Chuy,UY,-33.6971,-53.4616,61.23,95,42,12.71,scattered clouds
25,Biak,ID,-0.9131,122.8766,75.54,89,64,5.08,broken clouds
26,Hobart,AU,-42.8794,147.3294,45.05,87,75,5.75,broken clouds
27,Qunduz,AF,36.729,68.857,80.71,15,0,3.11,clear sky
28,Faanui,PF,-16.4833,-151.75,77.97,75,89,18.61,overcast clouds
29,Karatsu,JP,33.4425,129.9697,78.69,84,22,5.5,few clouds
30,Albany,US,42.6001,-73.9662,77.67,44,14,4.7,few clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,87,7.0,overcast clouds
32,Ushuaia,AR,-54.8,-68.3,28.06,80,75,19.57,snow
33,New Norfolk,AU,-42.7826,147.0587,44.71,89,9,2.42,clear sky
34,Hermanus,ZA,-34.4187,19.2345,56.8,82,3,7.81,clear sky
35,Roma,US,43.2128,-75.4557,73.72,41,0,8.05,clear sky
36,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,76,100,0.0,light rain
37,Sao Filipe,CV,14.8961,-24.4956,74.23,84,33,9.06,scattered clouds
38,Along,IN,28.1667,94.7667,74.12,98,90,1.59,overcast clouds
