City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vestmannaeyjar,IS,2022-07-08 00:23:31,63.4427,-20.2734,50.18,85,100,23.67
1,Toccoa,US,2022-07-08 00:23:32,34.5773,-83.3324,81.18,89,40,0.0
2,Nangomba,TZ,2022-07-08 00:23:32,-10.9,38.5,62.04,91,8,2.95
3,Funadhoo,MV,2022-07-08 00:23:33,6.15,73.2667,81.66,82,99,17.31
4,Hambantota,LK,2022-07-08 00:23:33,6.1241,81.1185,78.4,82,92,14.45
5,Hithadhoo,MV,2022-07-08 00:23:34,-0.6,73.0833,81.41,77,100,4.97
6,Punta Arenas,CL,2022-07-08 00:23:34,-53.15,-70.9167,26.71,93,0,4.61
7,Maniitsoq,GL,2022-07-08 00:23:35,65.4167,-52.9,42.17,93,100,0.96
8,Alta Floresta,BR,2022-07-08 00:23:37,-9.8756,-56.0861,79.14,44,23,4.14
9,Butaritari,KI,2022-07-08 00:23:40,3.0707,172.7902,81.95,77,86,15.52
10,Dingle,PH,2022-07-08 00:23:40,10.9995,122.6711,79.9,87,100,2.77
11,Yellowknife,CA,2022-07-08 00:20:43,62.456,-114.3525,79.32,27,20,11.5
12,Thunder Bay,CA,2022-07-08 00:23:43,48.4001,-89.3168,69.78,68,75,8.05
13,Rikitea,PF,2022-07-08 00:23:44,-23.1203,-134.9692,74.95,76,52,21.21
14,Khatanga,RU,2022-07-08 00:23:44,71.9667,102.5,49.75,39,20,10.22
15,Daru,PG,2022-07-08 00:23:45,-9.0763,143.2092,79.02,89,94,13.98
16,Chumikan,RU,2022-07-08 00:23:46,54.7183,135.315,75.54,55,84,14.72
17,Halifax,CA,2022-07-08 00:22:39,44.6453,-63.5724,67.89,63,40,4.61
18,Noumea,NC,2022-07-08 00:19:10,-22.2763,166.4572,84.18,99,1,3.09
19,Makat,KZ,2022-07-08 00:23:47,47.6469,53.3463,73.92,45,0,6.06
20,Ridgecrest,US,2022-07-08 00:23:47,35.6225,-117.6709,100.65,6,0,19.57
21,Ponta Do Sol,PT,2022-07-08 00:23:48,32.6667,-17.1,67.01,81,1,4.52
22,Kaniama,CD,2022-07-08 00:23:48,-7.5667,24.1833,63.55,43,46,5.37
23,Ust-Ishim,RU,2022-07-08 00:23:48,57.6935,71.1665,60.01,81,84,4.32
24,Albany,US,2022-07-08 00:22:33,42.6001,-73.9662,76.78,66,87,3.18
25,Bredasdorp,ZA,2022-07-08 00:23:49,-34.5322,20.0403,49.53,92,55,3.29
26,San Patricio,US,2022-07-08 00:23:25,28.017,-97.5169,91.54,56,2,16.89
27,Vaini,TO,2022-07-08 00:23:49,-21.2,-175.2,77.16,65,40,9.22
28,Avarua,CK,2022-07-08 00:23:51,-21.2078,-159.775,75.25,60,72,6.91
